Date,Close,High,Low,Open,Volume
24-07-2023,3668.199951,3680,3642.050049,3676,197861
25-07-2023,3677.050049,3701.75,3660.050049,3668.050049,237637
26-07-2023,3712.649902,3718.399902,3672.050049,3691.550049,182427
27-07-2023,3693.350098,3732.149902,3661.050049,3717.800049,286460
28-07-2023,3713.899902,3729,3674.050049,3704,219187
31-07-2023,3752.800049,3764,3703,3713.050049,276799
01-08-2023,3740.300049,3768.149902,3716.199951,3758.949951,212462
02-08-2023,3713.399902,3779.899902,3690.050049,3750,206748
03-08-2023,3699.899902,3725,3675,3713.399902,168745
04-08-2023,3652.100098,3700,3640,3699.899902,482851
07-08-2023,3640.350098,3671.25,3630.050049,3661.899902,340841
08-08-2023,3648.449951,3686.699951,3635,3660,269119
09-08-2023,3628.75,3659.949951,3615.350098,3648.449951,257378
10-08-2023,3598.199951,3644.949951,3587,3633.949951,381556
11-08-2023,3550.050049,3607.850098,3545,3600,740365
14-08-2023,3509.300049,3567.949951,3500,3567.949951,244504
16-08-2023,3499.350098,3527.949951,3491.25,3527.949951,321024
17-08-2023,3507.649902,3552,3500,3509.25,805813
18-08-2023,3540.949951,3594.149902,3501,3510,570307
21-08-2023,3547.699951,3565,3522,3540,319920
22-08-2023,3568.899902,3582.949951,3530.550049,3550,258022
23-08-2023,3539.300049,3582,3531.5,3582,341109
24-08-2023,3561.5,3569.949951,3545,3550,352847
25-08-2023,3534.600098,3573.649902,3530.050049,3554,254513
28-08-2023,3592.899902,3635.949951,3533,3533,619104
29-08-2023,3664.350098,3675,3615,3632,615528
30-08-2023,3736.300049,3742.75,3684.550049,3693.949951,440057
31-08-2023,3720.399902,3750,3680.100098,3736.300049,672799
01-09-2023,3761.050049,3765,3716,3730,361003
04-09-2023,3755.75,3781.949951,3739.100098,3771.949951,145378
05-09-2023,3776.899902,3794.949951,3727.699951,3759.949951,232853
06-09-2023,3796.800049,3810.199951,3760.5,3777,224923
07-09-2023,3785.100098,3856.800049,3770,3815,443562
08-09-2023,3782.399902,3825,3776,3820,155200
11-09-2023,3810.75,3815,3772.399902,3791.699951,170276
12-09-2023,3753.25,3847,3740.050049,3836,289753
13-09-2023,3813.699951,3823.949951,3731.199951,3760.949951,282452
14-09-2023,3808.050049,3850,3775,3845,281679
15-09-2023,3796,3820,3770,3819.850098,252016
18-09-2023,3797.899902,3810,3771.25,3795.800049,114208
20-09-2023,3729.399902,3789.949951,3715.5,3789.949951,182671
21-09-2023,3686.949951,3775,3679,3747,191005
22-09-2023,3689.100098,3717.550049,3653.949951,3687,148096
25-09-2023,3664.100098,3702.949951,3656.199951,3700,112473
26-09-2023,3633.600098,3680.949951,3625,3664.100098,170690
27-09-2023,3640.699951,3669,3625,3650,427214
28-09-2023,3671.050049,3692,3651,3692,451168
29-09-2023,3675.600098,3698,3651.300049,3671.050049,321455
03-10-2023,3725.699951,3740.25,3616,3675.399902,235045
04-10-2023,3872.949951,3909.949951,3760,3760,1737108
05-10-2023,3861.5,3938.399902,3842.050049,3880,607632
06-10-2023,3833.949951,3890.800049,3786.75,3860,345055
09-10-2023,3798.600098,3818,3771,3809.600098,278929
10-10-2023,3793.800049,3829.850098,3775.550049,3809.949951,284836
11-10-2023,3852.050049,3889,3804.300049,3812.5,304828
12-10-2023,3862.75,3890,3820.300049,3874.800049,226262
13-10-2023,3935.850098,3941,3836.050049,3853.949951,554574
16-10-2023,3856.800049,3873.899902,3772.75,3825.050049,1102582
17-10-2023,3842.850098,3885,3834.300049,3879.149902,394330
18-10-2023,3795.949951,3853.100098,3776.25,3842.850098,356321
19-10-2023,3766.850098,3790,3746.850098,3790,168075
20-10-2023,3749.5,3780.949951,3742.100098,3760.050049,200038
23-10-2023,3668.949951,3768,3641.350098,3750.050049,297128
25-10-2023,3740.550049,3755,3620.100098,3685,333022
26-10-2023,3684.649902,3731.949951,3662,3728.050049,289964
27-10-2023,3665.449951,3758,3651,3700,365480
30-10-2023,3646.649902,3688,3624.25,3686.699951,254298
31-10-2023,3633.399902,3671.25,3620,3657.649902,820386
01-11-2023,3639.449951,3660.600098,3621,3637.5,242467
02-11-2023,3647.449951,3677.949951,3624.149902,3639,216100
03-11-2023,3649.699951,3667.600098,3621.25,3667.600098,316179
06-11-2023,3649.550049,3692.899902,3635.300049,3654.550049,277254
07-11-2023,3653.300049,3667.949951,3636,3649.5,287032
08-11-2023,3712.399902,3727.949951,3658,3658,246719
09-11-2023,3747.600098,3765,3725,3733.899902,248748
10-11-2023,3798.399902,3800,3738.550049,3750,205429
13-11-2023,3798.449951,3819.800049,3740.199951,3809.949951,166502
15-11-2023,3791.949951,3814.949951,3750.100098,3810,372291
16-11-2023,3790.25,3800,3765,3795,148945
17-11-2023,3810.899902,3843,3780,3794.949951,266479
20-11-2023,3792.899902,3833,3771.699951,3810.899902,252998
21-11-2023,3814.949951,3842,3796,3796,196060
22-11-2023,3838.25,3873.850098,3812.350098,3820,200608
23-11-2023,3844.399902,3865,3798.949951,3848,201012
24-11-2023,3842.899902,3869,3799,3820,96391
28-11-2023,3912.149902,3934,3815,3815,449705
29-11-2023,3861.5,3937,3841,3915,333845
30-11-2023,3949.75,3962,3834,3878,698850
01-12-2023,3988.399902,3995,3931.149902,3969.649902,380041
04-12-2023,3967.100098,4049,3950.050049,4000,389629
05-12-2023,4039.550049,4041,3949,3950,443420
06-12-2023,4137.149902,4175,4039,4039.550049,861085
07-12-2023,4115.450195,4206,4095,4140.049805,414582
08-12-2023,4070.649902,4170,4027.649902,4155.950195,495575
11-12-2023,4069.75,4075,4025.050049,4070.649902,239939
12-12-2023,4075.399902,4100,4038.100098,4080.899902,349447
13-12-2023,4033.050049,4075.399902,3945.100098,4075,388573
14-12-2023,4070.050049,4081,3996.050049,4044.949951,264682
15-12-2023,4045.649902,4097.899902,4017,4085,300270
18-12-2023,4010.149902,4079.800049,4000,4045,221527
19-12-2023,4021.350098,4048.949951,3990.25,4010,185004
20-12-2023,3965.899902,4046.449951,3905,4011,244858
21-12-2023,3954.5,4009.899902,3920.050049,3950,286850
22-12-2023,4007.949951,4015,3962.050049,3977.949951,224831
26-12-2023,4023.449951,4038.199951,3995.350098,4009.949951,299135
27-12-2023,4027.449951,4063.300049,4000,4020,349033
28-12-2023,4044.649902,4058.399902,4015,4048.899902,403866
29-12-2023,4082.649902,4098.899902,3984.199951,4045.100098,224994
01-01-2024,4064.75,4080,4042.100098,4075,131614
02-01-2024,4103.350098,4155,4006.25,4070,843252
03-01-2024,3932.350098,4080,3919.399902,4080,964470
04-01-2024,3897.850098,3965,3888,3965,754490
05-01-2024,3863.5,3940,3810,3902,513823
08-01-2024,3804.399902,3919.899902,3791,3893.949951,692896
09-01-2024,3810.75,3850,3787,3810.100098,440688
10-01-2024,3822,3837.949951,3792.350098,3818.899902,338253
11-01-2024,3821.350098,3845,3805,3845,213492
12-01-2024,3841,3848,3794.100098,3827.949951,456627
15-01-2024,3858.25,3933,3851,3924.949951,505101
16-01-2024,3828.300049,3865,3807,3860,445672
17-01-2024,3786.449951,3811.899902,3750,3750,516399
18-01-2024,3748.850098,3790,3740,3786.449951,489754
19-01-2024,3731.699951,3768.699951,3704.5,3762.949951,565533
23-01-2024,3675.899902,3714,3651.050049,3675,299750
24-01-2024,3727.75,3748,3646.050049,3675.899902,316651
25-01-2024,3734.25,3750,3695.5,3731,200269
29-01-2024,3749.399902,3764.199951,3689,3700,216522
30-01-2024,3687.300049,3772.850098,3680,3740,263265
31-01-2024,3792.699951,3821.399902,3652.75,3680,353880
01-02-2024,3808.199951,3826.600098,3772,3810,188297
02-02-2024,3784.300049,3815,3770,3808.199951,186318
05-02-2024,3729.600098,3791.550049,3720.050049,3785,216052
06-02-2024,3727.399902,3737.699951,3702.050049,3730,148110
07-02-2024,3717.699951,3785,3703,3759,173087
08-02-2024,3731.050049,3787.949951,3715,3718.949951,261689
09-02-2024,3719.199951,3758,3699,3732.149902,306425
